Id,Label,viralcentrality
1.35304e+18,MorHogeg,0.0
1.35399e+18,Anonymouus_____,0.0
1.35438e+18,shahr918022281,0.0
1.35452e+18,arash_aa64,0.0
1.36974e+18,Fr33domSeek3r,0.0
1.37084e+18,MolaniaHiwa,0.0
1.34563e+18,samirkh1389,0.0
1.39282e+18,KnightAnahita22,0.0
1.38911e+18,awes_spad,0.0
1.38991e+18,cb_doge,0.0
1.38998e+18,6ohlxisK6AaGx5Z,0.0
1.39062e+18,mahdina46511139,0.0
1.39066e+18,Farzad2537,0.0
1.39074e+18,Malin54449388,0.0
1.39075e+18,winstoon3,0.0
1.39086e+18,Rfrenss,0.0
1.39133e+18,twiterrism819,0.0
1.39299e+18,MehdiVakili20,0.0
1.38497e+18,mikayilh03,0.0
1.39317e+18,HOUOMAN,0.0
1.39348e+18,pocohantes2021,0.0
1.39407e+18,SHuARi99,0.0
1.39424e+18,Binava_ii,0.0
1.39567e+18,KhatibiOfficial,0.0
1.39646e+18,Shirzad1968,0.0
1.39675e+18,Amir_Galavani,0.0
1.39903e+18,kaviani_aria,0.0
1.39998e+18,titab_inmood,0.0
1.38608e+18,NoushaEshghi,0.0
1.38482e+18,fairghh,0.0
1.37111e+18,KouroshNazarian,0.0
1.37687e+18,baqeri_meisam,0.0
1.3714e+18,Saeed48920740,0.0
1.37173e+18,MasoudSlii,0.0
1.37228e+18,itscallboss,0.0
1.37275e+18,Koroshariae2021,0.0
1.37407e+18,eternity_2001,0.0
1.37434e+18,ashkanekh,0.0
1.37502e+18,BLACKchamoMil,0.0
1.37651e+18,Malusakam,0.0
1.37684e+18,foroog4,0.0
1.37749e+18,AdinHaykin1,0.0
1.38408e+18,AliAghell,0.0
1.37826e+18,jandarck60,0.0
1.3799e+18,Gazza_B8,0.0
1.38018e+18,deevesefid,0.0
1.38045e+18,SEskandarii,0.0
1.38064e+18,Cryptol56407054,0.0
1.38114e+18,titii80,0.0
1.3814e+18,massimomorattti,0.0
1.38205e+18,Rezaie1982Mrr,0.0
1.38221e+18,ElonMuskAOC,0.0
1.34566e+18,koroshCR7,0.0
1.34382e+18,Zakhe93,0.0
1.48627e+18,Persiairany,0.0
1.31163e+18,Pezhvaak1,0.0
1.30554e+18,siavosh48,0.0
1.30631e+18,XAVIAERD,0.0
1.30702e+18,RAHBARMOVAGAT,0.0
1.30727e+18,notrealizumi,0.0
1.30813e+18,footballibodam,0.0
1.30866e+18,SasanRebels,0.0
1.30913e+18,ay_____l_ar,0.0
1.30958e+18,alidikafraz,0.0
1.30995e+18,BonHamidscott17,0.0
1.31203e+18,Tsihanouskaya,0.0
1.30286e+18,keykemiveyi,0.0
1.31227e+18,frggiiiee,0.0
1.31228e+18,Tanha_5566,0.0
1.31464e+18,Pegahan__,0.0
1.31556e+18,golnarjahanbani,0.0
1.31612e+18,corrrdeliiiaaa,0.0
1.31629e+18,mey_monik,0.0
1.31687e+18,Siahi15,0.0
1.3169e+18,iamsalij,0.0
1.317e+18,realMaalouf,0.0
1.30551e+18,goddesofhope,0.0
1.30282e+18,sir_rocoo,0.0
1.31783e+18,Aburrrida901903,0.0
1.29588e+18,Elham42302688,0.0
1.29009e+18,GazelleSharmahd,0.0
1.29037e+18,gohar169,0.0
1.29126e+18,khormal0098,0.0
1.29149e+18,BamdadPirouzi,0.0
1.29231e+18,2Ubbe,0.0
1.29273e+18,steveimcqueen,0.0
1.29364e+18,marziahussaini0,0.0
1.29387e+18,sag_koshi,0.0
1.2956e+18,afkari_saeed,0.0
1.29692e+18,ali73724440,0.0
1.30116e+18,samousavi44,0.0
1.29725e+18,Kian_sh26,0.0
1.29826e+18,khosrokhan05,0.0
1.29858e+18,ARDESHIR003,0.0
1.29886e+18,Gen_Pinuchet,0.0
1.29938e+18,lIshaghayeghlI,0.0
1.29969e+18,ZafarHeretic,0.0
1.30006e+18,ar_dpm88,0.0
1.30038e+18,daniela_sepehri,0.0
1.30074e+18,Mikey007007,0.0
1.31711e+18,KhavaranKaveh,0.0
1.31788e+18,ErfanSabeti,0.0
1.3424e+18,kochar_ir,0.0
1.33634e+18,The1_No1,0.0
1.33042e+18,Samaismm,0.0
1.33235e+18,KMooreGilbert,0.0
1.33257e+18,Amir_forughii,0.0
1.33385e+18,unknownuserWLF,0.0
1.33391e+18,iamramanzada,0.0
1.3342e+18,Xman1Simon,0.0
1.33606e+18,MazdakBAMDADAN2,0.0
1.33617e+18,baharlooe,0.0
1.33618e+18,mohamadhosein_2,0.0
1.33746e+18,faryaddarkhafa1,0.0
1.32941e+18,fSxjcIhOMQxSEE2,0.0
1.33778e+18,Gaffer_Wolf,0.0
1.33778e+18,amir1apex,0.0
1.33798e+18,Purple___drop,0.0
1.33855e+18,5pickkk,0.0
1.33917e+18,GBNEWS,0.0
1.33991e+18,HomaTajbakhsh,0.0
1.34145e+18,ghoghayeSokoot,0.0
1.34176e+18,DTehrany,0.0
1.34212e+18,NilloofarAbi,0.0
1.32971e+18,Jaavidshah,0.0
1.32906e+18,QaradaghBear,0.0
1.31821e+18,sanazcartoon,0.0
1.32391e+18,kambujiye_2535,0.0
1.31867e+18,mariam_claren,0.0
1.31925e+18,vazhe23,0.0
1.32039e+18,MasoudSaeedinia,0.0
1.32181e+18,qalicheh,0.0
1.32197e+18,s_h_a_p_u_r,0.0
1.32205e+18,rezazadeh1122,0.0
1.32306e+18,manaartlover,0.0
1.32377e+18,GhassemiAbi,0.0
1.32386e+18,Meysam73203915,0.0
1.32473e+18,sunnny_pannni,0.0
1.32874e+18,Delgado4444,0.0
1.32482e+18,Silver19967452,0.0
1.32516e+18,ANTYTHEZIS,0.0
1.32558e+18,TalkFifi,0.0
1.32609e+18,Niyaz68401862,0.0
1.32619e+18,farida18739455,0.0
1.32718e+18,_ali_jo,0.0
1.32796e+18,1500tasvir,0.0
1.32841e+18,gettylegion,0.0
1.3287e+18,MirzaeiMotahare,0.0
1.40017e+18,Pz_kommandant,0.0
1.40077e+18,yassfid7750,0.0
1.40078e+18,amir7gladbakh,0.0
1.45928e+18,golbarg20201,0.0
1.45787e+18,sentdefender,0.0
1.45799e+18,herbertgreg8,0.0
1.45815e+18,bezarfekrkonam,0.0
1.4582e+18,r_tamizkar,0.0
1.45834e+18,LightofRev,0.0
1.45871e+18,ARo0_7,0.0
1.45878e+18,AmirkhizyMeliss,0.0
1.45887e+18,Ana__Schuster,0.0
1.45927e+18,FereydounJRL,0.0
1.45934e+18,alexharmstrong,0.0
1.45602e+18,BehrangBabak,0.0
1.45973e+18,ShahinMajelan,0.0
1.46068e+18,JohnnyNash77,0.0
1.46122e+18,Maryam12214429,0.0
1.46155e+18,Akhis_pakhis2,0.0
1.46209e+18,DkhtrMaharajh,0.0
1.46216e+18,WatchYalla,0.0
1.46381e+18,Arthas7z,0.0
1.46505e+18,HelliAzad,0.0
1.46614e+18,arte_alb,0.0
1.45735e+18,orcica,0.0
1.45558e+18,PiersUncensored,0.0
1.46891e+18,farangistaheri,0.0
1.45004e+18,MaymoonMast,0.0
1.44537e+18,haalvsh,0.0
1.44544e+18,Hooriehkhodami1,0.0
1.44666e+18,hazliyeah,0.0
1.44693e+18,ClownWorld_,0.0
1.44722e+18,sadaffadaeian,0.0
1.44757e+18,liloooum,0.0
1.44765e+18,fridaka96,0.0
1.44798e+18,h_shyrazi,0.0
1.44872e+18,mtorkamaan1995,0.0
1.45085e+18,2the_dark_byte_,0.0
1.45557e+18,Soranmansournia,0.0
1.45167e+18,tootferangi,0.0
1.45262e+18,ShavazCom,0.0
1.45299e+18,iran22851566,0.0
1.45339e+18,sezar00126,0.0
1.45399e+18,shmssyd85,0.0
1.45448e+18,hossein_d15,0.0
1.4546e+18,Tanasoli_Return,0.0
1.45511e+18,ToomajSalehiFan,0.0
1.4554e+18,Belfi58515802,0.0
1.46834e+18,koroshkabirq,0.0
1.46971e+18,theomen1978,0.0
1.40085e+18,marlon00866335,0.0
1.48042e+18,AccuracyHHM,0.0
1.47851e+18,Kolbarnews,0.0
1.47853e+18,SorooshSina,0.0
1.47874e+18,laliSA__79,0.0
1.47887e+18,mynameismahsaaa,0.0
1.47906e+18,Matinsheibii,0.0
1.47937e+18,mahrokh19726311,0.0
1.4799e+18,kantianism_n,0.0
1.48017e+18,nilooofarqam,0.0
1.4804e+18,badbitch7575,0.0
1.48068e+18,kimba787,0.0
1.47833e+18,Arman_Nouriyan,0.0
1.48139e+18,panbedarnaf1,0.0
1.48219e+18,estemnayi1,0.0
1.48232e+18,vahid_nightmare,0.0
1.4824e+18,Roozbeh2666,0.0
1.48282e+18,Golareh0,0.0
1.57765e+18,Freeplatipous,0.0
1.48418e+18,EdaalateAli1400,0.0
1.48482e+18,ieatalexturner1,0.0
1.48531e+18,iranariyayi64,0.0
1.47833e+18,anon__fighter,0.0
1.47831e+18,tajolmolook123,0.0
1.46978e+18,ronin47ir,0.0
1.47276e+18,aliemamiofnyc,0.0
1.47027e+18,hamivattan,0.0
1.47141e+18,kirawontmiss,0.0
1.47143e+18,balochestan1422,0.0
1.47145e+18,NeoRezM,0.0
1.47156e+18,napelunbonapart,0.0
1.47191e+18,NazaninHonarkar,0.0
1.47224e+18,payandeiranam,0.0
1.47227e+18,RezaMoh41155063,0.0
1.47262e+18,Khosrowalikord2,0.0
1.47336e+18,sogoli_bikhodi,0.0
1.47815e+18,JamesDeanUFO,0.0
1.47359e+18,Amin_64A98,0.0
1.47409e+18,ShitpostGate,0.0
1.4745e+18,PBDsPodcast,0.0
1.47463e+18,Mqadi99,0.0
1.47664e+18,goat_Thecreator,0.0
1.47692e+18,mahi3555,0.0
1.47725e+18,mss_prisoner,0.0
1.47798e+18,Narges59897716,0.0
1.47809e+18,ScottBaughCA47,0.0
1.44533e+18,X4LIREZ4X,0.0
1.44514e+18,zobeyd_e_akani,0.0
1.44511e+18,HasanAliSalman1,0.0
1.41496e+18,hannaa______,0.0
1.40886e+18,artidiana2,0.0
1.40986e+18,ISefati,0.0
1.40995e+18,forevermr_,0.0
1.41e+18,persianjewess,0.0
1.41142e+18,Mesi82068361,0.0
1.41202e+18,Parav610136875,0.0
1.41293e+18,HayleyMarshallQ,0.0
1.41322e+18,Teeegra,0.0
1.41414e+18,BabyfaceFz,0.0
1.41561e+18,hoseinshirzad89,0.0
1.40798e+18,abbcccz,0.0
1.41602e+18,Blackja36801561,0.0
1.41624e+18,RanaDadpour,0.0
1.41637e+18,oomidvaramm,0.0
1.4167e+18,javidnaam,0.0
1.41746e+18,aghachurchill,0.0
